"person","Camp","ID","PU","Pc","PUc"
"Zoe","Concerned","Other fields IC",0.21,0.5,0.21
"Zoe","Concerned","Power-seeking shutdown",0.21,0.1,0.5
"Zoe","Concerned","IC demonstration",0.21,0.8,0.21
"Zoe","Concerned","6 month pause",0.21,0.2,0.18
"Zoe","Concerned","No violence LLM",0.21,0.2,0.1
"Zoe","Concerned","Non-democracy AI",0.21,0.1,0.35
"Zoe","Concerned","Democratic influence",0.21,0.005,0.4
"Zoe","Concerned","Luke policies",0.21,0.65,0.2
"Zoe","Concerned","Politicization",0.21,0.2,0.4
"Zoe","Concerned","Cyberattacks",0.21,0.2,0.21
"Zoe","Concerned","Intergovernmental AI safety",0.21,0.1,0.1
"Zoe","Concerned","Public concern",0.21,0.05,0.3
"Zoe","Concerned","Platform: Escalating warning shots",0.21,0.05,0.13
"Zoe","Concerned","Alignment solution",0.21,0.15,0.05
"Zoe","Concerned","AI writes AI",0.21,0.01,0.5
"Zoe","Concerned","AI coding",0.21,0.75,0.25
"Zoe","Concerned","Taiwan-China",0.21,0.3,0.5
"Zoe","Concerned","AI Robotics",0.21,0.2,0.25
"Zoe","Concerned","Major powers war",0.21,0.1,0.4
"Pascal","Concerned","Taiwan-China",0.09,0.3,0.12
"Pascal","Concerned","IT progress",0.09,0.15,0.11
"Pascal","Concerned","Evidence of misalignment",0.09,0.25,0.15
"Pascal","Concerned","6 month pause",0.09,0.55,0.09
"Pascal","Concerned","Power-seeking",0.09,0.75,0.1
"Pascal","Concerned","IC demonstration",0.09,0.4,0.08
"Pascal","Concerned","No violence LLM",0.09,0.15,0.065
"Pascal","Concerned","Req testing",0.09,0.65,0.09
"Pascal","Concerned","Luke policies",0.09,0.35,0.08
"Pascal","Concerned","Alignment researchers changing minds",0.09,0.15,0.06
"Pascal","Concerned","Warning shot",0.09,0.15,0.12
"Pascal","Concerned","Alignment solution",0.09,0.1,0.02
"Pascal","Concerned","Escalating warning shots",0.09,0.22,0.05
"Pascal","Concerned","AI Forecasting skill",0.09,0.35,0.09
"Pascal","Concerned","Platform: Escalating warning shots",0.09,0.07,0.08
"Pascal","Concerned","Democratic influence",0.09,0.02,0.1
"Pascal","Concerned","AI writes AI",0.09,0.75,0.1
"Pascal","Concerned","Short-term GDP change",0.09,0.4,0.1
"Pascal","Concerned","AI solving novel math problems",0.09,0.04,0.18
"Pascal","Concerned","AI articles and apps",0.09,0.35,0.09
"Pascal","Concerned","Progress in lethal technologies",0.09,0.1,0.09
"Pascal","Concerned","Platform: AI regulation",0.09,0.28,0.07
"Pascal","Concerned","Reduction in AI investment",0.09,0.17,0.05
"Pascal","Concerned","Cyberattacks",0.09,0.07,0.08
"Pascal","Concerned","Platform: Transformative growth",0.09,0.55,0.15
"Pascal","Concerned","Fast AI efficiency gains",0.09,0.18,0.2
"Pascal","Concerned","Supers changing minds",0.09,0.3,0.09
"Pascal","Concerned","Non-democracy AI",0.09,0.25,0.12
"Pascal","Concerned","Platform: ARC Evals",0.09,0.12,0.25
"Quentin","Concerned","Major powers war",0.024,0.21,0.04
"Quentin","Concerned","Warning shot",0.04,0.3,0.042
"Quentin","Concerned","Luke policies",0.04,0.7,0.03
"Quentin","Concerned","AI solving novel math problems",0.04,0.1,0.044
"Quentin","Concerned","Power-seeking",0.04,0.3,0.045
"Quentin","Concerned","AI writes AI",0.04,0.15,0.05
"Quentin","Concerned","Platform: ARC Evals",0.024,0.2,0.03
"Quentin","Concerned","Taiwan-China",0.04,0.35,0.05
"Quentin","Concerned","Intergovernmental AI safety",0.024,0.3,0.015
"Quentin","Concerned","AI articles and apps",0.04,0.1,0.06
"Quentin","Concerned","AI Robotics",0.024,0.1,0.04
"Quentin","Concerned","IT progress",0.04,0.1,0.06
"Quentin","Concerned","6 month pause",0.04,0.3,0.03
"Quentin","Concerned","Alignment solution",0.04,0.2,0.01
"Quentin","Concerned","Short-term GDP change",0.04,0.0828308,0.0412
"Quentin","Concerned","No violence LLM",0.04,0.6,0.03
"Quentin","Concerned","Evidence of misalignment",0.04,0.4,0.048
"Quentin","Concerned","AI coding",0.024,0.65,0.025
"Quentin","Concerned","Reduction in AI investment",0.04,0.15,0.029
"Quentin","Concerned","IC demonstration",0.04,0.3,0.04
"Quentin","Concerned","Democratic influence",0.04,0.05,0.06
"Quentin","Concerned","Supers changing minds",0.04,0.1,0.064
"Quentin","Concerned","Progress in lethal technologies",0.04,0.99,0.04
"Quentin","Concerned","Politicization",0.024,0.1,0.024
"Quentin","Concerned","Escalating warning shots",0.04,0.04,0.052
"Quentin","Concerned","AI Forecasting skill",0.04,0.2,0.042
"Quentin","Concerned","Fast AI efficiency gains",0.04,0.02,0.06
"Quentin","Concerned","Platform: Transformative growth",0.04,0.32,0.00075
"Quentin","Concerned","Cyberattacks",0.04,0.4,0.04
"Quentin","Concerned","Other fields IC",0.024,0.3,0.024
"Quentin","Concerned","Alignment researchers changing minds",0.04,0.1,0.0267
"Quentin","Concerned","Non-democracy AI",0.04,0.4,0.05
"Quentin","Concerned","Power-seeking shutdown",0.024,0.3,0.03
"Quentin","Concerned","Public concern",0.024,0.03,0.04
"Quentin","Concerned","Platform: Escalating warning shots",0.04,0.01,0.06
"Quentin","Concerned","Req testing",0.04,0.8,0.037
"Quentin","Concerned","Platform: AI regulation",0.024,0.6,0.02
"Dean","Skeptical","Supers changing minds",0.015,0.05,0.015
"Dean","Skeptical","Intergovernmental AI safety",0.01,0.001,0.007
"Dean","Skeptical","AI coding",0.01,0.5,0.01
"Dean","Skeptical","Alignment solution",0.01,0.01,0.001
"Dean","Skeptical","Platform: Escalating warning shots",0.01,2e-05,0.04
"Dean","Skeptical","Other fields IC",0.01,0.55,0.01
"Dean","Skeptical","AI Forecasting skill",0.015,0.19,0.014
"Dean","Skeptical","Platform: ARC Evals",0.01,0.001,0.015
"Dean","Skeptical","Short-term GDP change",0.015,0.01,0.015
"Dean","Skeptical","Progress in lethal technologies",0.015,0.5,0.015
"Dean","Skeptical","Evidence of misalignment",0.015,0.01,0.015
"Dean","Skeptical","Luke policies",0.01,0.08,0.007
"Dean","Skeptical","Cyberattacks",0.01,0.05,0.01
"Dean","Skeptical","Platform: Transformative growth",0.01,0.112,0.007
"Dean","Skeptical","Req testing",0.01,0.18,0.01
"Dean","Skeptical","IC demonstration",0.01,5e-05,0.015
"Dean","Skeptical","Non-democracy AI",0.01,0.03,0.011
"Dean","Skeptical","AI articles and apps",0.01,0.005,0.008
"Dean","Skeptical","Alignment researchers changing minds",0.015,0.01,0.015
"Dean","Skeptical","AI Robotics",0.01,0.05,0.01
"Dean","Skeptical","IT progress",0.01,0.001,0.01
"Dean","Skeptical","Democratic influence",0.01,1e-04,0.04
"Dean","Skeptical","Reduction in AI investment",0.015,0.005,0.009
"Dean","Skeptical","Taiwan-China",0.01,0.04,0.01
"Dean","Skeptical","Power-seeking",0.01,0.0015,0.013
"Dean","Skeptical","Platform: AI regulation",0.01,0.4,0.01
"Dean","Skeptical","Public concern",0.01,0.01,0.01
"Dean","Skeptical","Warning shot",0.015,0.03,0.02
"Dean","Skeptical","Major powers war",0.01,0.005,0.012
"Dean","Skeptical","Politicization",0.01,0.15,0.01
"Dean","Skeptical","AI writes AI",0.01,5e-04,0.012
"Dean","Skeptical","AI solving novel math problems",0.015,0.2,0.015
"Dean","Skeptical","No violence LLM",0.01,1e-09,1e-08
"Dean","Skeptical","6 month pause",0.01,1e-04,0.01
"Dean","Skeptical","Escalating warning shots",0.015,1e-04,0.04
"Dean","Skeptical","Power-seeking shutdown",0.01,1e-04,0.015
"Dean","Skeptical","Fast AI efficiency gains",0.015,0.02,0.015
"Ume","Concerned","Escalating warning shots",0.6,0.39,0.9
"Ume","Concerned","Req testing",0.6,0.8,0.5
"Ume","Concerned","Democratic influence",0.6,0.01,0.2
"Ume","Concerned","AI Robotics",0.3,0.5,0.4
"Ume","Concerned","Platform: Escalating warning shots",0.6,0.31,0.9
"Ume","Concerned","Reduction in AI investment",0.6,0.01,0.05
"Ume","Concerned","Public concern",0.3,0.3,0.25
"Ume","Concerned","Short-term GDP change",0.6,0.5,0.6
"Ume","Concerned","Alignment solution",0.6,0.05,0.1
"Ume","Concerned","AI writes AI",0.6,0.1,0.95
"Ume","Concerned","Power-seeking shutdown",0.3,0.9,0.3
"Ume","Concerned","Warning shot",0.6,0.4,0.5
"Ume","Concerned","Platform: Transformative growth",0.6,0.43,0.26
"Ume","Concerned","Supers changing minds",0.6,0.5,0.2
"Ume","Concerned","Platform: ARC Evals",0.6,0.06,0.03
"Ume","Concerned","Alignment researchers changing minds",0.6,0.1,0.02
"Ume","Concerned","6 month pause",0.6,0.01,0.05
"Ume","Concerned","Fast AI efficiency gains",0.6,0.6,0.6
"Ume","Concerned","AI solving novel math problems",0.6,0.3,0.15
"Ume","Concerned","Luke policies",0.6,0.3,0.2
"Ume","Concerned","AI articles and apps",0.6,0.3,0.65
"Ume","Concerned","Evidence of misalignment",0.6,0.8,0.55
"Ume","Concerned","Cyberattacks",0.6,0.7,0.45
"Ume","Concerned","Taiwan-China",0.6,0.05,0.65
"Ume","Concerned","No violence LLM",0.6,0.03,0.1
"Ume","Concerned","IC demonstration",0.6,0.8,0.58
"Ume","Concerned","Non-democracy AI",0.6,0.02,0.7
"Ume","Concerned","Other fields IC",0.3,0.9,0.28
"Ume","Concerned","Power-seeking",0.6,0.05,0.7
"Ume","Concerned","Platform: AI regulation",0.6,0.25,0.18
"Ume","Concerned","IT progress",0.6,0.2,0.6
"Ume","Concerned","Progress in lethal technologies",0.6,0.4,0.5
"Ume","Concerned","Politicization",0.3,0.5,0.3
"Ume","Concerned","AI coding",0.3,0.92,0.3
"Ume","Concerned","Intergovernmental AI safety",0.3,0.7,0.25
"Ume","Concerned","Major powers war",0.3,0.1,0.7
"Ume","Concerned","AI Forecasting skill",0.6,0.5,0.65
"Ike","Skeptical","Platform: Transformative growth",7e-04,0.02,0.00045
"Ike","Skeptical","AI coding",7e-04,0.65,8e-04
"Ike","Skeptical","Other fields IC",7e-04,0.35,0.00085
"Ike","Skeptical","Platform: AI regulation",5e-04,0.35,0.00038
"Ike","Skeptical","Politicization",7e-04,0.4,0.00063
"Ike","Skeptical","Major powers war",7e-04,0.07,0.00055
"Ike","Skeptical","Platform: ARC Evals",5e-04,0.04,0.0025
"Ike","Skeptical","Public concern",7e-04,0.25,0.0011
"Ike","Skeptical","AI Robotics",7e-04,0.6,0.00077
"Ike","Skeptical","Power-seeking shutdown",7e-04,0.55,8e-04
"Ike","Skeptical","Platform: Escalating warning shots",5e-04,0.004,0.02
"Ike","Skeptical","Intergovernmental AI safety",7e-04,0.45,0.00055
"Kim","Skeptical","AI Forecasting skill",1e-05,0.07,1e-05
"Kim","Skeptical","Platform: Transformative growth",2e-04,0.05,4e-04
"Kim","Skeptical","Other fields IC",2e-04,0.5,2e-04
"Kim","Skeptical","AI Robotics",2e-04,0.005,0.006
"Kim","Skeptical","Platform: ARC Evals",2e-04,0.001,0.05
"Kim","Skeptical","Platform: AI regulation",2e-04,0.65,8e-05
"Kim","Skeptical","Alignment solution",1e-04,0.07,1e-05
"Kim","Skeptical","IT progress",1e-04,0.33,2e-04
"Kim","Skeptical","Intergovernmental AI safety",2e-04,0.23,2e-04
"Kim","Skeptical","Req testing",1e-04,0.09,1e-04
"Kim","Skeptical","Major powers war",2e-04,0.05,1e-04
"Kim","Skeptical","Politicization",2e-04,0.35,2e-04
"Kim","Skeptical","Power-seeking shutdown",2e-04,0.002,0.02
"Kim","Skeptical","Short-term GDP change",1e-05,0.01,2e-05
"Kim","Skeptical","Fast AI efficiency gains",1e-05,0.5,1e-05
"Kim","Skeptical","Reduction in AI investment",1e-05,0.07,1e-05
"Kim","Skeptical","Public concern",2e-04,0.22,0.00025
"Kim","Skeptical","Cyberattacks",1e-04,0.14,1e-04
"Kim","Skeptical","6 month pause",1e-04,0.06,2e-04
"Kim","Skeptical","Escalating warning shots",1e-05,0.02,1e-05
"Kim","Skeptical","Taiwan-China",1e-04,0.26,8e-05
"Kim","Skeptical","Evidence of misalignment",1e-05,0.01,5e-04
"Kim","Skeptical","Non-democracy AI",1e-04,0.2,1e-04
"Kim","Skeptical","Warning shot",1e-05,0.04,2e-05
"Kim","Skeptical","IC demonstration",1e-04,0.5,1e-04
"Kim","Skeptical","Power-seeking",1e-04,0.001,0.03
"Kim","Skeptical","AI solving novel math problems",1e-05,0.2,1e-05
"Kim","Skeptical","No violence LLM",1e-04,0.03,5e-05
"Kim","Skeptical","Alignment researchers changing minds",1e-05,0.3,1e-05
"Kim","Skeptical","Luke policies",1e-04,0.8,1e-04
"Kim","Skeptical","Progress in lethal technologies",1e-05,0.25,2e-05
"Kim","Skeptical","AI articles and apps",1e-04,0.005,0.002
"Kim","Skeptical","Supers changing minds",1e-05,0.06,1e-05
"Kim","Skeptical","Platform: Escalating warning shots",2e-04,0.09,2e-04
"Kim","Skeptical","AI writes AI",1e-04,0.01,0.004
"Kim","Skeptical","AI coding",2e-04,0.38,0.00029
"Kim","Skeptical","Democratic influence",1e-04,9e-04,0.04
